building_or_sheet,sheet,point_name
ALL,All points,ALUMNI.ChillerSystem.CHWHeaderBypassValve
ALL,All points,ALUMNI.ChillerSystem.CHWHeaderDiffPressure
ALL,All points,ALUMNI.ChillerSystem.CHWHeaderDiffPressureSp
ALL,All points,ALUMNI.ChillerSystem.CHWHeaderFlwR
ALL,All points,ALUMNI.ChillerSystem.CHWRHeaderPressure
ALL,All points,ALUMNI.ChillerSystem.CHWRHeaderTemp
ALL,All points,ALUMNI.ChillerSystem.CHWSHeaderPressure
ALL,All points,ALUMNI.ChillerSystem.CHWSHeaderTemp
ALL,All points,Acc-Act-En-Exp-Tot_AS1_ALL_Hourly_kWh
ALL,All points,Acc-Act-En-Exp-Tot_AS1_ALL_Monthly_kWh
ALL,All points,Acc-Act-En-Exp-Tot_AS1_M1_Hourly_kWh
ALL,All points,Acc-Act-En-Exp-Tot_AS1_M1_kWh
ALL,All points,Acc-Act-En-Exp-Tot_AS1_M1_Monthly_kWh
ALL,All points,Acc-Act-En-Exp-Tot_AS1_M2_Hourly_kWh
ALL,All points,Acc-Act-En-Exp-Tot_AS1_M2_kWh
ALL,All points,Acc-Act-En-Exp-Tot_AS1_M2_Monthly_kWh
ALL,All points,AS1 ExtG Bus Daily Consumption - E560
ALL,All points,AS1 ExtG Bus Hourly Consumption - E560
ALL,All points,Acc-Act-En-Exp-Tot_AS2_M1_Hourly_kWh
ALL,All points,Acc-Act-En-Exp-Tot_AS2_M1_kWh
ALL,All points,Acc-Act-En-Exp-Tot_AS2_M1_Monthly_kWh
ALL,All points,AS2 IC Main Daily Consumption - E561
ALL,All points,AS2 IC Main Hourly Consumption - E561
ALL,All points,AS2 Total Daily Consumption
ALL,All points,AS2 Total Hourly Consumption
ALUMNI,ALUMNI,ALUMNI.ChillerSystem.CHWHeaderBypassValve
ALUMNI,ALUMNI,ALUMNI.ChillerSystem.CHWHeaderDiffPressure
ALUMNI,ALUMNI,ALUMNI.ChillerSystem.CHWHeaderDiffPressureSp
ALUMNI,ALUMNI,ALUMNI.ChillerSystem.CHWHeaderFlwR
ALUMNI,ALUMNI,ALUMNI.ChillerSystem.CHWRHeaderPressure
ALUMNI,ALUMNI,ALUMNI.ChillerSystem.CHWRHeaderTemp
ALUMNI,ALUMNI,ALUMNI.ChillerSystem.CHWSHeaderPressure
ALUMNI,ALUMNI,ALUMNI.ChillerSystem.CHWSHeaderTemp
AS1,AS1,Acc-Act-En-Exp-Tot_AS1_ALL_Hourly_kWh
AS1,AS1,Acc-Act-En-Exp-Tot_AS1_ALL_Monthly_kWh
AS1,AS1,Acc-Act-En-Exp-Tot_AS1_M1_Hourly_kWh
AS1,AS1,Acc-Act-En-Exp-Tot_AS1_M1_kWh
AS1,AS1,Acc-Act-En-Exp-Tot_AS1_M1_Monthly_kWh
AS1,AS1,Acc-Act-En-Exp-Tot_AS1_M2_Hourly_kWh
AS1,AS1,Acc-Act-En-Exp-Tot_AS1_M2_kWh
AS1,AS1,Acc-Act-En-Exp-Tot_AS1_M2_Monthly_kWh
AS1,AS1,AS1 ExtG Bus Daily Consumption - E560
AS1,AS1,AS1 ExtG Bus Hourly Consumption - E560
AS2,AS2,Acc-Act-En-Exp-Tot_AS2_M1_Hourly_kWh
AS2,AS2,Acc-Act-En-Exp-Tot_AS2_M1_kWh
AS2,AS2,Acc-Act-En-Exp-Tot_AS2_M1_Monthly_kWh
AS2,AS2,AS2 IC Main Daily Consumption - E561
AS2,AS2,AS2 IC Main Hourly Consumption - E561
AS2,AS2,AS2 Total Daily Consumption
AS2,AS2,AS2 Total Hourly Consumption
AS3,AS3,Acc-Act-En-Exp-Tot_AS3_M1_Hourly_kWh
AS3,AS3,Acc-Act-En-Exp-Tot_AS3_M1_kWh
AS3,AS3,Acc-Act-En-Exp-Tot_AS3_M1_Monthly_kWh
AS3,AS3,AS3 IC Main Daily Consumption - E564
AS3,AS3,AS3 IC Main Hourly Consumption - E564
AS3,AS3,AS3 Total Daily Consumption
AS3,AS3,AS3 Total Hourly Consumption
AS4,AS4,Acc-Act-En-Exp-Tot_AS4_M1_Hourly_kWh
AS4,AS4,Acc-Act-En-Exp-Tot_AS4_M1_kWh
AS4,AS4,Acc-Act-En-Exp-Tot_AS4_M1_Monthly_kWh
AS5,AS5,Acc-Act-En-Exp-Tot_AS5_M1_Hourly_kWh
AS5,AS5,Acc-Act-En-Exp-Tot_AS5_M1_kWh
AS5,AS5,Acc-Act-En-Exp-Tot_AS5_M1_Monthly_kWh
AS6,AS6,Acc-Act-En-Exp-Tot_AS6_M1_Hourly_kWh
AS6,AS6,Acc-Act-En-Exp-Tot_AS6_M1_kWh
AS6,AS6,Acc-Act-En-Exp-Tot_AS6_M1_Monthly_kWh
AS7,AS7,Acc-Act-En-Exp-Tot_AS7_M1_Hourly_kWh
AS7,AS7,Acc-Act-En-Exp-Tot_AS7_M1_kWh
AS7,AS7,Acc-Act-En-Exp-Tot_AS7_M1_Monthly_kWh
BIZ1,BIZ1,Acc-Act-En-Exp-Tot_BIZ1_M1_Hourly_kWh
BIZ1,BIZ1,Acc-Act-En-Exp-Tot_BIZ1_M1_kWh
BIZ1,BIZ1,Acc-Act-En-Exp-Tot_BIZ1_M1_Monthly_kWh
BIZ1,BIZ1,BIZ1.ChillerSystem.CHWBypassValve
BIZ1,BIZ1,BIZ1.ChillerSystem.CHWDiffPressure
BIZ1,BIZ1,BIZ1.ChillerSystem.CHWDiffPressureSp
BIZ1,BIZ1,BIZ1.ChillerSystem.CHWHeaderBypassValve
BIZ1,BIZ1,BIZ1.ChillerSystem.CHWHeaderDiffPressureSp
BIZ1,BIZ1,BIZ1.ChillerSystem.CHWRHeaderPressure
BIZ1,BIZ1,BIZ1.ChillerSystem.CHWRHeaderTemp
BIZ1,BIZ1,BIZ1.ChillerSystem.CHWSHeaderPressure
BIZ1,BIZ1,BIZ1.ChillerSystem.CHWSHeaderTemp
BIZ2,BIZ2,Acc-Act-En-Exp-Tot_BIZ2_M1_Hourly_kWh
BIZ2,BIZ2,Acc-Act-En-Exp-Tot_BIZ2_M1_kWh
BIZ2,BIZ2,Acc-Act-En-Exp-Tot_BIZ2_M1_Monthly_kWh
BIZ2,BIZ2,BIZ2.AHU1-1.ChillerSystem.ChilledWaterReturnDuct.Pressure
BIZ2,BIZ2,BIZ2.AHU1-1.ChillerSystem.ChilledWaterSupplyDuct.Pressure
BIZ2,BIZ2,BIZ2.AHU1-1.ChillerSystem.CHWDiffPressure
BIZ2,BIZ2,BIZ2.ChillerSystem.CHWHeaderBypassValve
BIZ2,BIZ2,BIZ2.ChillerSystem.CHWHeaderDiffPressureSp
BIZ2,BIZ2,BIZ2.ChillerSystem.CHWRHeaderPressure
BIZ2,BIZ2,BIZ2.ChillerSystem.CHWRHeaderTemp
BIZ2,BIZ2,BIZ2.ChillerSystem.CHWSHeaderPressure
BIZ2,BIZ2,BIZ2.ChillerSystem.CHWSHeaderTemp
CAPT,CAPT,Acc-Act-En-Exp-Tot_CAPT_M1_Hourly_kWh
CAPT,CAPT,Acc-Act-En-Exp-Tot_CAPT_M1_kWh
CAPT,CAPT,Acc-Act-En-Exp-Tot_CAPT_M1_Monthly_kWh
CLB,CLB,Acc-Act-En-Exp-Tot_CLB_M1_Hourly_kWh
CLB,CLB,Acc-Act-En-Exp-Tot_CLB_M1_kWh
CLB,CLB,Acc-Act-En-Exp-Tot_CLB_M1_Monthly_kWh
CLB,CLB,CLB IC1 Delivered Daily Consumption - E481
CLB,CLB,CLB IC1 Delivered Hourly Consumption - E481
CLB,CLB,CLB IC1 Delivered Monthly Consumption - E481
CLB,CLB,CLB IC1 Received Daily Consumption - E481
CLB,CLB,CLB IC1 Received Hourly Consumption - E481
CLB,CLB,CLB IC1 Received Monthly Consumption - E481
CLB,CLB,CLB IC2 Delivered Daily Consumption - E482
CLB,CLB,CLB IC2 Delivered Hourly Consumption - E482
CLB,CLB,CLB IC2 Delivered Monthly Consumption - E482
CLB,CLB,CLB IC2 Received Daily Consumption - E482
CLB,CLB,CLB IC2 Received Hourly Consumption - E482
CLB,CLB,CLB IC2 Received Monthly Consumption - E482
CLB,CLB,CLB Total Daily All Consumption
CLB,CLB,CLB Total Daily Cooling Consumption
CLB,CLB,CLB Total Daily Electrical Consumption
CLB,CLB,CLB Total Hourly All Consumption
CLB,CLB,CLB Total Hourly Cooling Consumption
CLB,CLB,CLB Total Hourly Electrical Consumption
CLB,CLB,CLB Total Monthly All Consumption
CLB,CLB,CLB Total Monthly Cooling Consumption
CLB,CLB,CLB Total Monthly Electrical Consumption
COM1,COM1,Acc-Act-En-Exp-Tot_COM1_M1_Hourly_kWh
COM1,COM1,Acc-Act-En-Exp-Tot_COM1_M1_kWh
COM1,COM1,Acc-Act-En-Exp-Tot_COM1_M1_Monthly_kWh
COM1,COM1,COM1.ChillerSystem.ChilledWaterReturnDuct.MotorisedValveStatus
COM1,COM1,COM1.ChillerSystem.ChilledWaterReturnDuct.Pressure
COM1,COM1,COM1.ChillerSystem.ChilledWaterSupplyDuct.FlwR
COM1,COM1,COM1.ChillerSystem.ChilledWaterSupplyDuct.FlwRSp
COM1,COM1,COM1.ChillerSystem.ChilledWaterSupplyDuct.FlwRSw
COM1,COM1,COM1.ChillerSystem.ChilledWaterSupplyDuct.MotorisedValveStatus
COM1,COM1,COM1.ChillerSystem.ChilledWaterSupplyDuct.Pressure
COM1,COM1,COM1.ChillerSystem.ChilledWaterSupplyDuct.Temp
COM1,COM1,COM1.ChillerSystem.CHWBypassValve
