building,ahu,equipment,canonical_point,raw_point_name,point_path,unit,n_matching_raw_points,selection_note
ALUMNI,AHU2-1,ChillerSystem,operation_mode_or_status,ALUMNI.ChillerSystem.AHU2-1.Status,ALUMNI.ChillerSystem.AHU2-1.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU2-1,ChillerSystem,supply_fan_command_or_status,ALUMNI.ChillerSystem.AHU2-1.Status,ALUMNI.ChillerSystem.AHU2-1.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU2-2,ChillerSystem,operation_mode_or_status,ALUMNI.ChillerSystem.AHU2-2.Status,ALUMNI.ChillerSystem.AHU2-2.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU2-2,ChillerSystem,supply_fan_command_or_status,ALUMNI.ChillerSystem.AHU2-2.Status,ALUMNI.ChillerSystem.AHU2-2.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU3-1,ChillerSystem,operation_mode_or_status,ALUMNI.ChillerSystem.AHU3-1.Status,ALUMNI.ChillerSystem.AHU3-1.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU3-1,ChillerSystem,supply_fan_command_or_status,ALUMNI.ChillerSystem.AHU3-1.Status,ALUMNI.ChillerSystem.AHU3-1.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU3-2,ChillerSystem,operation_mode_or_status,ALUMNI.ChillerSystem.AHU3-2.Status,ALUMNI.ChillerSystem.AHU3-2.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU3-2,ChillerSystem,supply_fan_command_or_status,ALUMNI.ChillerSystem.AHU3-2.Status,ALUMNI.ChillerSystem.AHU3-2.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU4-1,ChillerSystem,operation_mode_or_status,ALUMNI.ChillerSystem.AHU4-1.Status,ALUMNI.ChillerSystem.AHU4-1.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU4-1,ChillerSystem,supply_fan_command_or_status,ALUMNI.ChillerSystem.AHU4-1.Status,ALUMNI.ChillerSystem.AHU4-1.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU4-2,ChillerSystem,operation_mode_or_status,ALUMNI.ChillerSystem.AHU4-2.Status,ALUMNI.ChillerSystem.AHU4-2.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU4-2,ChillerSystem,supply_fan_command_or_status,ALUMNI.ChillerSystem.AHU4-2.Status,ALUMNI.ChillerSystem.AHU4-2.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU4-3,ChillerSystem,operation_mode_or_status,ALUMNI.ChillerSystem.AHU4-3.Status,ALUMNI.ChillerSystem.AHU4-3.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU4-3,ChillerSystem,supply_fan_command_or_status,ALUMNI.ChillerSystem.AHU4-3.Status,ALUMNI.ChillerSystem.AHU4-3.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU5-1,ChillerSystem,operation_mode_or_status,ALUMNI.ChillerSystem.AHU5-1.Status,ALUMNI.ChillerSystem.AHU5-1.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU5-1,ChillerSystem,supply_fan_command_or_status,ALUMNI.ChillerSystem.AHU5-1.Status,ALUMNI.ChillerSystem.AHU5-1.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU5-2,ChillerSystem,operation_mode_or_status,ALUMNI.ChillerSystem.AHU5-2.Status,ALUMNI.ChillerSystem.AHU5-2.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHU5-2,ChillerSystem,supply_fan_command_or_status,ALUMNI.ChillerSystem.AHU5-2.Status,ALUMNI.ChillerSystem.AHU5-2.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHULL-1,ChillerSystem,operation_mode_or_status,ALUMNI.ChillerSystem.AHULL-1.Status,ALUMNI.ChillerSystem.AHULL-1.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHULL-1,ChillerSystem,supply_fan_command_or_status,ALUMNI.ChillerSystem.AHULL-1.Status,ALUMNI.ChillerSystem.AHULL-1.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHULL1-9,ChillerSystem,operation_mode_or_status,ALUMNI.ChillerSystem.AHULL1-9.Status,ALUMNI.ChillerSystem.AHULL1-9.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHULL1-9,ChillerSystem,supply_fan_command_or_status,ALUMNI.ChillerSystem.AHULL1-9.Status,ALUMNI.ChillerSystem.AHULL1-9.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHUR-1,ChillerSystem,operation_mode_or_status,ALUMNI.ChillerSystem.AHUR-1.Status,ALUMNI.ChillerSystem.AHUR-1.Status,,1,first shortest matching PI point path for this AHU and canonical category
ALUMNI,AHUR-1,ChillerSystem,supply_fan_command_or_status,ALUMNI.ChillerSystem.AHUR-1.Status,ALUMNI.ChillerSystem.AHUR-1.Status,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-1,,cooling_coil_offcoil_temperature,BIZ1.AHU1-1.CoolingCoil.OCTempSpAct,BIZ1.AHU1-1.CoolingCoil.OCTempSpAct,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-1,,cooling_coil_offcoil_temperature_setpoint,BIZ1.AHU1-1.CoolingCoil.OCTempSpAct,BIZ1.AHU1-1.CoolingCoil.OCTempSpAct,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-1,,operation_mode_or_status,BIZ1.AHU1-1.Status,BIZ1.AHU1-1.Status,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-1,,supply_air_static_pressure,BIZ1.AHU1-1.SupplyAirDuct.SaStaticSp,BIZ1.AHU1-1.SupplyAirDuct.SaStaticSp,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-1,,supply_air_static_pressure_setpoint,BIZ1.AHU1-1.SupplyAirDuct.SaStaticSp,BIZ1.AHU1-1.SupplyAirDuct.SaStaticSp,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-1,,supply_fan_command_or_status,BIZ1.AHU1-1.Status,BIZ1.AHU1-1.Status,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-2,,operation_mode_or_status,BIZ1.AHU1-2.Status,BIZ1.AHU1-2.Status,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-2,,supply_fan_command_or_status,BIZ1.AHU1-2.Status,BIZ1.AHU1-2.Status,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-3,,operation_mode_or_status,BIZ1.AHU1-3.Status,BIZ1.AHU1-3.Status,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-3,,supply_fan_command_or_status,BIZ1.AHU1-3.Status,BIZ1.AHU1-3.Status,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-4,,operation_mode_or_status,BIZ1.AHU1-4.Status,BIZ1.AHU1-4.Status,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-4,,supply_fan_command_or_status,BIZ1.AHU1-4.Status,BIZ1.AHU1-4.Status,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-5,,operation_mode_or_status,BIZ1.AHU1-5.Status,BIZ1.AHU1-5.Status,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-5,,supply_fan_command_or_status,BIZ1.AHU1-5.Status,BIZ1.AHU1-5.Status,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-6,,operation_mode_or_status,BIZ1.AHU1-6.Status,BIZ1.AHU1-6.Status,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU1-6,,supply_fan_command_or_status,BIZ1.AHU1-6.Status,BIZ1.AHU1-6.Status,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU3-2,,cooling_coil_offcoil_temperature,BIZ1.AHU3-2.PrecoolingCoil.OCTempSp,BIZ1.AHU3-2.PrecoolingCoil.OCTempSp,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU3-2,,cooling_coil_offcoil_temperature_setpoint,BIZ1.AHU3-2.PrecoolingCoil.OCTempSp,BIZ1.AHU3-2.PrecoolingCoil.OCTempSp,,1,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU4-1,,cooling_coil_offcoil_temperature,BIZ1.AHU4-1.CoolingCoil.OCTempSpAct,BIZ1.AHU4-1.CoolingCoil.OCTempSpAct,,2,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU4-1,,cooling_coil_offcoil_temperature_setpoint,BIZ1.AHU4-1.CoolingCoil.OCTempSpAct,BIZ1.AHU4-1.CoolingCoil.OCTempSpAct,,2,first shortest matching PI point path for this AHU and canonical category
BIZ1,AHU4-1,,operation_mode_or_status,BIZ1.AHU4-1.Status,BIZ1.AHU4-1.Status,,1,first shortest matching PI point path for this AHU and canonical category
